"","name","trend","Species","ESU","pop"
"104","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River",0.0377475802405465,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River"
"105","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River",0.106773850068745,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River"
"106","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem",0.0922525525194167,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem"
"107","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem",0.000331028712023265,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem"
"108","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River",0.0606277986382562,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River"
"109","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek",0.00630214539959194,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek"
"110","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River",0.0686545674295155,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River"
"111","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek",0.0565577045391013,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Marsh Creek"
"112","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River above Indian Creek",0.0406268968613206,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River above Indian Creek"
"113","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River below Indian Creek",-0.0353959025736402,"Chinook","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook Salmon (Snake River Spring/Summer-run ESU) - Middle Fork Salmon River below Indian Creek"
